forecast_date,target_date,horizon,y_true,crps,pinball_mean,model,year,regime,split,q05,q10,q25,q50,q75,q90,q95
2024-08-18,2024-11-16,90,37.6425,64.92216426313335,32.46108213156668,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-307.9310085555443,-217.7440796951491,-67.04567588569716,100.39119161358812,267.8280591128734,418.5264629223253,508.71339178272024
2024-08-18,2025-02-14,180,153.53083333333333,84.83337303577528,42.41668651788764,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-465.6354912802235,-338.09191333707525,-124.97218684177098,111.81930201698513,348.61079087574126,561.7305173710455,689.2740953141936
2024-08-18,2025-08-13,360,103.54708333333332,117.25190029390939,58.62595014695469,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-700.6980648681792,-520.324207147389,-218.9273995284851,115.94633547008547,450.820070468656,752.21687808756,932.5907358083498
2024-09-17,2024-09-18,1,24.976249999999997,6.4926444829439784,3.246322241471989,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-13.527219940005626,-4.018559416881853,11.869995402617768,29.52333333333333,47.17667126404889,63.06522608354851,72.57388660667226
2024-09-17,2024-09-24,7,19.51375,16.921537329235555,8.460768664617781,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-84.37772443165922,-59.22017338613638,-17.18300864152363,29.52333333333333,76.2296753081903,118.26684005280303,143.42439109832583
2024-09-17,2024-10-01,14,32.73166666666667,51.312180379097924,25.656090189548973,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-43.00997214609335,-7.43182226142153,52.01770624412194,118.07044851380043,184.12319078347892,243.5727192890224,279.1508691736941
2024-09-17,2024-10-17,30,33.3675,51.293331829510045,25.64666591475501,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-122.58708393022364,-70.50600532848601,16.51919347948764,113.2105074786325,209.90182147777733,296.927020285751,349.00809888748853
2024-09-17,2024-11-16,60,37.6425,55.04760416086138,27.52380208043069,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-235.3768990743738,-161.72313137277723,-38.65091495032597,98.09125267094016,234.8334202922063,357.90563671465753,431.5594044162539
2024-09-17,2024-12-16,90,21.228333333333335,72.08940038964292,36.04470019482146,Naive-Gaussian,2024,Post-Crisis (2023–2025),test,-295.47342189214453,-205.26634764094666,-54.53428176675378,112.93998673036093,280.4142552274756,431.14632110166855,521.3533953528662
2024-09-17,2025-03-16,180,41.11291666666667,85.86008081148711,42.930040405743554,Naive-Gaussian,2025,Post-Crisis (2023–2025),holdout,-485.24298650450976,-357.6709186764689,-144.50358683267055,92.3407950244623,329.1851768815951,542.3525087253935,669.924576553434
